Date,Open,High,Low,Close,Adj Close,Volume
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,40872.703125,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,40769.222656,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,40320.832031,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,40717.496094,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,40855.457031,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,40855.457031,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,40579.511719,15162350
2018-03-02,46580.000000,46800.000000,46000.000000,46020.000000,39682.730469,13265500
2018-03-05,45820.000000,46160.000000,45080.000000,45200.000000,38975.652344,14100950
2018-03-06,45920.000000,47100.000000,45820.000000,47020.000000,40545.023438,15423350
2018-03-07,48200.000000,48900.000000,47220.000000,48620.000000,41924.695313,21427050
2018-03-08,49200.000000,49480.000000,48080.000000,49200.000000,42424.824219,19463650
2018-03-09,49440.000000,50540.000000,49240.000000,49740.000000,42890.464844,14304400
2018-03-12,50560.000000,50780.000000,49580.000000,49740.000000,42890.464844,8688950
2018-03-13,50760.000000,51660.000000,50360.000000,51660.000000,44546.074219,20098700
2018-03-14,51020.000000,52000.000000,51000.000000,51760.000000,44632.304688,12713250
2018-03-15,52000.000000,52020.000000,51020.000000,51540.000000,44442.593750,8882450
2018-03-16,51220.000000,51420.000000,50240.000000,51140.000000,44097.671875,12184900
2018-03-19,50620.000000,51340.000000,50440.000000,50740.000000,43752.753906,8218850
2018-03-20,50700.000000,51200.000000,50100.000000,51200.000000,44149.410156,8193250
2018-03-21,51780.000000,51780.000000,51060.000000,51060.000000,44028.691406,8905200
2018-03-22,51060.000000,51780.000000,51040.000000,51780.000000,44649.542969,8454100
2018-03-23,50340.000000,50720.000000,49600.000000,49720.000000,42873.218750,14854950
2018-03-26,49420.000000,50280.000000,49040.000000,50280.000000,43356.105469,10057750
2018-03-27,50320.000000,50460.000000,49080.000000,49980.000000,43097.421875,11874000
2018-03-28,49100.000000,49100.000000,48340.000000,48700.000000,41993.671875,15159450
2018-03-29,48700.000000,49560.000000,48320.000000,49040.000000,42596.492188,10067000
2018-03-30,49080.000000,49900.000000,49080.000000,49220.000000,42752.851563,7777100
2018-04-02,49000.000000,49220.000000,48500.000000,48540.000000,42162.191406,7115650
2018-04-03,47880.000000,48140.000000,47280.000000,48120.000000,41797.367188,12768250
2018-04-04,48160.000000,48260.000000,46920.000000,46920.000000,40755.046875,12384200
2018-04-05,47400.000000,49380.000000,47340.000000,48740.000000,42335.906250,13245600
2018-04-06,48000.000000,48580.000000,47400.000000,48400.000000,42040.582031,12532700
2018-04-09,48260.000000,49440.000000,48200.000000,49200.000000,42735.460938,9950400
2018-04-10,48540.000000,49220.000000,48040.000000,48880.000000,42457.519531,10984350
